"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:06.000]  Wszystkie słowa są jasne.
[36:41.140 --> 36:44.140]  A gdzie jedli śniadania?
[36:44.140 --> 36:45.140]  Nie.
[36:45.140 --> 36:46.140]  Nie.
[36:46.140 --> 36:47.140]  Nie.
[36:47.140 --> 36:48.140]  Nie.
[36:48.140 --> 36:49.140]  Nie.
[36:49.140 --> 36:50.140]  Nie.
[36:50.140 --> 36:51.140]  Nie.
[36:51.140 --> 36:52.140]  Nie.
[36:52.140 --> 36:53.140]  Nie.
[36:53.140 --> 36:54.140]  Nie.
[36:54.140 --> 36:55.140]  Na domu?
[36:55.140 --> 36:56.640]  Domu robili sami.
[36:56.640 --> 36:59.640]  A co jedli w restauracji?
[37:01.140 --> 37:02.140]  Obety koledzy.
[37:02.640 --> 37:04.140]  Obety koledzy, aha.
[37:06.140 --> 37:09.140]  Magda była na kursie niemieckiego w Berlinie?
[37:10.140 --> 37:11.140]  Prawda.
[37:11.140 --> 37:13.640]  Prawda. Magda musiała się dużo uczyć?
[37:14.140 --> 37:15.840]  Prawda.
[37:15.840 --> 37:17.640]  Prawda. Magda mieszkała w hotelu?
[37:17.640 --> 37:18.400]  Nieprawda.
[37:18.400 --> 37:21.140]  Nieprawda. Gdzie mieszkała?
[37:21.140 --> 37:23.140]  To jest rodzina niemiecka.
[37:23.140 --> 37:25.140]  To jest rodzina niemiecka.
[37:25.140 --> 37:27.140]  To jest rodzina niemiecka.
[37:27.140 --> 37:29.140]  To jest rodzina niemiecka.
[37:29.140 --> 37:31.140]  Chciałabym powiedzieć, że to jest mój ojciec.
[37:31.140 --> 37:33.140]  Mój ojciec?
[37:33.140 --> 37:35.140]  Mój ojciec.
[37:35.140 --> 37:37.140]  Mój ojciec.
[37:37.140 --> 37:39.140]  Mój ojciec.
[37:39.140 --> 37:41.140]  To jest mój ojciec.
[37:45.140 --> 37:47.140]  Musi się zrobić...
[37:47.140 --> 37:49.140]  ...złapkę na ręce.
[37:49.140 --> 37:51.140]  To jest ojciec.
[37:51.140 --> 37:53.140]  Dobra.
[37:53.140 --> 37:55.140]  Dobra.
[37:55.140 --> 37:57.140]  Spróbujemy jeszcze raz.
[37:57.140 --> 37:59.140]  Tym razem zadanie 9.
[37:59.140 --> 38:01.140]  Tym razem zadanie 9.
[38:01.140 --> 38:03.140]  Ja będę robić przerwę.
[38:03.140 --> 38:05.140]  Ja będę robić przerwę.
[38:05.140 --> 38:07.140]  Po każdym albo prawie każdemu zdaniu.
[38:07.140 --> 38:09.140]  Po każdym albo prawie każdemu zdaniu.
[38:09.140 --> 38:11.140]  Ale już wbijemy dużo, więc...
[38:11.140 --> 38:13.140]  Ale już wbijemy dużo, więc...
[38:13.140 --> 38:15.140]  Spróbuję.
[38:15.140 --> 38:17.140]  Dobra.
[38:19.140 --> 38:21.140]  Spróbuję.
[38:21.140 --> 38:23.140]  Lekcja 10, ćwiczenie 6, a i d.
[38:23.140 --> 38:25.140]  Lekcja 10, ćwiczenie 6, a i d.
[38:45.140 --> 38:47.140]  sojuka
[38:47.140 --> 38:49.540]  No i co? Gdzie pojechałeś?
[38:49.700 --> 38:50.620]  Do Hiszpanii.
[38:50.800 --> 38:54.500]  No to fantastyczne wakacje. Byłeś sam czy z jakimiś znajomymi?
[38:54.880 --> 39:00.040]  Byliśmy w cztery osoby. Mój brat ze swoją dziewczyną, mój kolega ze studiów, no i ja.
[39:00.120 --> 39:00.320]  Jak?
[39:15.380 --> 39:16.440]  Długo byliście?
[39:16.440 --> 39:17.440]  Prawie miesiąc.
[39:28.260 --> 39:31.360]  W czerwcu byliśmy już z powrotem w Warszawie.
[39:35.900 --> 39:41.720]  Ona prywatnie świetnie. Optymalna pogoda. Jeździliśmy po całej Hiszpanii samochodem.
[39:41.800 --> 39:45.120]  Zwiedzaliśmy miasta, codziennie pływaliśmy albo biegaliśmy.
[39:46.440 --> 39:58.660]  No a wieczorem?
[39:58.960 --> 40:03.260]  Chodziliśmy na dyskutek albo po prostu do jakiegoś fajnego klubu. Było super.
[40:03.640 --> 40:04.580]  A gdzie jedliście?
[40:04.880 --> 40:09.580]  Śniadania robiliśmy sami, a kolację czy obiad jedliśmy z reguły w restauracji.
[40:10.640 --> 40:12.220]  A ty miałaś już jakiś urlop?
[40:12.300 --> 40:14.560]  Tak, tak. Dwa miesiące temu. W lipcu.
[40:15.000 --> 40:15.180]  Był?
[40:16.440 --> 40:17.440]  Tak.
[40:18.700 --> 40:20.580]  A na kursie językowym w Berlinie.
[40:20.760 --> 40:25.280]  Aha, ale gdzie chodziłaś na lekcje? To było na uniwersytecie czy...
[40:25.280 --> 40:29.060]  Nie, to był normalny kurs językowy w prywatnej szkole językowej.
[40:29.380 --> 40:32.640]  Taka wakacyjna oferta. W grupie było dziewięć osób.
[40:40.480 --> 40:45.460]  Codziennie przed południem mieliśmy cztery lekcje. Od dziewiątej do pół do pierwszej.
[40:45.460 --> 40:49.860]  A po południu czy wieczorem spotykaliśmy się już prywatnie. I... nie wiem.
[40:50.080 --> 40:55.340]  Na przykład chodziliśmy do kina, zwiedzaliśmy miasto albo po prostu rozmawialiśmy gdzieś w kawiarni.
[40:55.700 --> 40:57.280]  No i musiałam się też dużo uczyć.
[40:57.380 --> 41:00.240]  A gdzie mieszkałaś? W hotelu czy u kogoś znajomego?
[41:00.380 --> 41:03.780]  Nie, to był zorganizowany kurs i mieszkanie też było zapewnione.
[41:04.100 --> 41:05.680]  Mieszkałam u rodziny niemieckiej.
[41:05.940 --> 41:11.280]  Aha, to znaczy, że cały czas musiałaś mówić tylko po niemiecku. To nie było za trudne?
[41:11.460 --> 41:14.700]  Wiesz co, na początku tak, ale potem się przyzwyczaiłam.
[41:15.460 --> 41:19.820]  Dobra. Próbuję.
[41:21.860 --> 41:23.860]  Ok, kto był w Hiszpanii?
[41:25.180 --> 41:26.180]  W Ormaniu.
[41:26.460 --> 41:27.460]  W Ormaniu?
[41:28.220 --> 41:30.220]  Kto? Niekiedy.
[41:36.060 --> 41:37.060]  Co znaczy kto?
[41:38.240 --> 41:39.740]  Who? Where?
[41:40.180 --> 41:41.180]  Mhm. Who?
[41:42.380 --> 41:43.380]  Z bratem.
[41:43.780 --> 41:44.780]  Mhm. Brat?
[41:45.460 --> 41:47.460]  Tomek z dziewczyną.
[41:47.460 --> 41:48.460]  Tak.
[41:48.460 --> 41:50.460]  Kolega z studium.
[41:50.460 --> 41:52.460]  Tak. I on.
[41:52.460 --> 41:54.460]  Tak, i Tomek super. Czyli brat.
[41:54.460 --> 41:56.460]  Last one, what was it?
[41:56.460 --> 41:57.460]  On.
[41:57.460 --> 41:58.460]  On?
[41:58.460 --> 42:00.460]  On. Czyli Tomek.
[42:02.460 --> 42:09.460]  Czyli w Hiszpanii był jego brat Tomka z dziewczyną, kolega ze studium, no i ten Tomek.
[42:09.460 --> 42:13.460]  Dobra. Jak długo Tomek był w Hiszpanii?
[42:15.460 --> 42:17.460]  Miesiąc.
[42:17.460 --> 42:21.460]  Miesiąc. Mhm. Prawie miesiąc. Gdzie Tomek był w czerwcu?
[42:21.460 --> 42:22.460]  W Warszawie.
[42:22.460 --> 42:28.460]  Tak, z powrotem w Warszawie. Co robił w Hiszpanii?
[42:30.460 --> 42:33.460]  Zwiedział miasto.
[42:33.460 --> 42:34.460]  Mhm.
[42:34.460 --> 42:39.460]  Codziennie bywałyśmy i bywałyśmy.
[42:39.460 --> 42:43.460]  Mhm. Dobra. Pytanie mamy co Tomek robił?
[42:43.460 --> 42:46.460]  O, przepraszam, przepraszam, przepraszam.
[42:46.460 --> 42:53.460]  Pływał liście? Pływał li.
[42:53.460 --> 42:55.460]  Tomek.
[42:55.460 --> 42:58.460]  Pływał uj? Pływał, o mój Boże.
[42:58.460 --> 43:01.460]  Sorry, sorry. Pływał.
[43:01.460 --> 43:02.460]  Uj bał.
[43:02.460 --> 43:03.460]  Mhm.
[43:03.460 --> 43:04.460]  Uj bał.
[43:04.460 --> 43:05.460]  Mhm.
[43:05.460 --> 43:07.460]  But they, right?
[43:07.460 --> 43:10.460]  They, but in question we have Tomek. In question we have just he.
[43:10.460 --> 43:11.460]  Him.
[43:11.460 --> 43:12.460]  Him.
[43:13.460 --> 43:15.460]  Okay.
[43:17.460 --> 43:18.460]  Okay, so technically...
[43:18.460 --> 43:19.460]  Yeah, yeah, yeah.
[43:19.460 --> 43:22.460]  Oh, no this was correct, but in the question we have only Tomek.
[43:22.460 --> 43:23.460]  Dobra, czyli zwiedzał...
[43:23.460 --> 43:25.460]  Przepraszam, ale, tylko pytanie.
[43:25.460 --> 43:26.460]  Tak.
[43:26.460 --> 43:27.460]  Co to znaczy?
[43:27.460 --> 43:29.460]  Zwiedział? Zwiedział?
[43:29.460 --> 43:31.460]  Sightseeing.
[43:31.460 --> 43:32.460]  Zwiedział.
[43:32.460 --> 43:34.460]  To jest forma zwiedzać.
[43:34.460 --> 43:36.460]  Zwiedzać, tak.
[43:36.460 --> 43:38.460]  Zwiedzać.
[43:38.460 --> 43:39.460]  Zwiedzać.
[43:39.460 --> 43:42.460]  Okay, czyli on zwiedzał miasto.
[43:42.460 --> 43:44.460]  Codziennie pływał i...
[43:44.460 --> 43:45.460]  Biegał.
[43:45.460 --> 43:46.460]  Biegał.
[43:46.460 --> 43:47.460]  Biegał.
[43:47.460 --> 43:48.460]  Biegam.
[43:48.460 --> 43:49.460]  Biegam.
[43:49.460 --> 43:50.460]  I on biegał.
[43:50.460 --> 43:51.460]  Mhm.
[43:51.460 --> 43:52.460]  Kiedy Magda miała urlop?
[43:52.460 --> 43:53.460]  Dwa miesiące temu.
[43:53.460 --> 43:54.460]  Mhm, czyli?
[43:54.460 --> 43:55.460]  W lipcu.
[43:55.460 --> 43:56.460]  W lipcu, tak.
[43:56.460 --> 43:57.460]  Gdzie było lekcje niemieckiego?
[43:57.460 --> 43:58.460]  W Berlinie.
[43:58.460 --> 43:59.460]  W Berlinie.
[43:59.460 --> 44:00.460]  Mhm.
[44:00.460 --> 44:01.460]  W...
[44:01.460 --> 44:02.460]  Prywatnej szkole.
[44:02.460 --> 44:03.460]  Super, w prywatnej szkole.
[44:03.460 --> 44:04.460]  Prywatnej szkole.
[44:04.460 --> 44:05.460]  Prywatnej szkole.
[44:05.460 --> 44:06.460]  Prywatnej szkole.
[44:06.460 --> 44:07.460]  Prywatnej szkole.
[44:07.460 --> 44:08.460]  Prywatnej szkole.
[44:08.460 --> 44:09.460]  Prywatnej szkole.
[44:09.460 --> 44:10.460]  Prywatnej szkole.
[44:10.460 --> 44:11.460]  Prywatnej szkole.
[44:11.460 --> 44:12.460]  Super, w prywatnej szkole.
[44:12.460 --> 44:13.460]  Mhm.
[44:13.460 --> 44:14.460]  Ile było osób w grupie?
[44:14.460 --> 44:15.460]  Dziewiąte?
[44:15.460 --> 44:16.460]  Dziesiąte?
[44:16.460 --> 44:17.460]  Dziesiąte?
[44:17.460 --> 44:18.460]  Dziesiąte?
[44:18.460 --> 44:19.460]  Dziesiąte?
[44:19.460 --> 44:20.460]  Dobra.
[44:20.460 --> 44:21.460]  No.
[44:21.460 --> 44:22.460]  Jedy było osób?
[44:22.460 --> 44:23.460]  Dwa gada gramatyka.
[44:23.460 --> 44:24.460]  Dobra liczba, ale dwa gramatyka.
[44:24.460 --> 44:25.460]  Ok.
[44:25.460 --> 44:26.460]  Ile osób?
[44:26.460 --> 44:27.460]  Dziewiąte?
[44:27.460 --> 44:28.460]  Sorry, not dziewiąte.
[44:28.460 --> 44:29.460]  Dziewiąte would be...
[44:29.460 --> 44:30.460]  Dziewion...
[44:30.460 --> 44:31.460]  O, nie.
[44:31.460 --> 44:32.460]  Dziewiąte.
[44:32.460 --> 44:33.460]  Dziewiąte.
[44:33.460 --> 44:34.460]  Dziewiąte.
[44:34.460 --> 44:35.460]  Dziewiąte.
[44:35.460 --> 44:36.460]  Dziewiąte.
[44:36.460 --> 44:37.460]  Dziewiąte.
[44:37.460 --> 44:38.460]  Dziewiąte.
[44:38.460 --> 44:39.460]  Dziewiąte.
[44:39.460 --> 44:40.460]  Dziewiąte.
[44:40.460 --> 44:41.460]  Dziewiąte.
[44:41.460 --> 44:42.460]  Dziewiąte.
[44:42.460 --> 44:43.460]  Dziewięć osób.
[44:43.460 --> 44:44.460]  Tak.
[44:44.460 --> 44:47.460]  Od której, do której godziny były lekcje?
[44:47.460 --> 44:48.460]  Dziewiąte.
[44:48.460 --> 44:49.460]  Piąte?
[44:49.460 --> 44:50.460]  Od dziewiątej do...
[44:50.460 --> 44:51.460]  I didn't know, but I see the difference.
[44:51.460 --> 44:52.460]  Dobra.
[44:52.460 --> 44:53.460]  A mamy ostatnie.
[44:53.460 --> 44:54.460]  Mamy dziewiąte pytanie.
[44:54.460 --> 44:55.460]  Co robiłeś z kolegami?
[44:55.460 --> 44:56.460]  Tylko trochę szybko.
[44:56.460 --> 44:57.460]  Nie wiem, nie wiem.
[44:57.460 --> 44:58.460]  Nie wiem, nie wiem.
[44:58.460 --> 44:59.460]  Nie wiem.
[44:59.460 --> 45:00.460]  Nie wiem, nie wiem.
[45:00.460 --> 45:01.460]  Nie wiem.
[45:01.460 --> 45:02.460]  Nie wiem.
[45:02.460 --> 45:03.460]  Nie wiem.
[45:03.460 --> 45:04.460]  Nie wiem.
[45:04.460 --> 45:05.460]  Nie wiem.
[45:05.460 --> 45:06.460]  Nie wiem.
[45:06.460 --> 45:07.460]  Nie wiem.
[45:07.460 --> 45:08.460]  Nie wiem.
[45:08.460 --> 45:09.460]  Nie wiem.
[45:09.460 --> 45:10.460]  Nie wiem.
[45:10.460 --> 45:11.460]  Próbujmy do tego wrócić.
[45:11.460 --> 45:12.460]  Do tego wypukl으면ego.
[45:12.460 --> 45:15.460]  Codziennie przed południem mieliśmy cztery lekcje.
[45:15.460 --> 45:17.720]  Od dziewiątej do wpół do pierwszej.
[45:17.720 --> 45:19.680]  Od dziewiątej to?
[45:19.680 --> 45:24.020]  Współ do МУЗЫКА underscore two one.
[45:24.020 --> 45:27.020]  Wyerszty recuer.
[45:27.020 --> 45:34.020]  So, which one?
[45:34.020 --> 45:37.020]  Two three.
[45:37.020 --> 45:38.380]  Bitters...
[45:38.380 --> 45:38.620]  Bitterswords.
[45:38.620 --> 45:38.980]  Błyskup.
[45:38.980 --> 45:39.180]  Jeden dziewięćdziesiąt jeden jedenitionalque.
[45:39.180 --> 45:39.360] 九十一一一一一一一一一, jeden dziewięćdziesiąt jeden jed viene one?
[45:39.360 --> 45:43.420]  12... 12.04?
[45:43.420 --> 45:47.360]  12...
[45:47.360 --> 45:55.260]  Pod 12.30...
[45:55.260 --> 45:58.320]  Pod 12.30.
[45:58.320 --> 46:01.000]  Hmm, no dobrze, to bardzo dalej.
[46:01.000 --> 46:05.460]  W południu czy wieczorem spotykaliśmy się już prywatnie i... nie wiem,
[46:05.460 --> 46:11.060]  na przykład chodziliśmy do kina, zwiedzaliśmy miasto, albo po prostu rozmawialiśmy gdzieś w kawiarni.
[46:11.060 --> 46:13.060]  No i musiało się też dużo uczyć.
[46:20.300 --> 46:21.300]  Okej.
[46:24.300 --> 46:25.300]  Co robili?
[46:27.800 --> 46:28.800]  Do kina?
[46:28.800 --> 46:30.800]  Mhm, chodzili do kina, na pewno.
[46:30.800 --> 46:31.800]  Chodzili do kina.
[46:32.500 --> 46:33.500]  Co jeszcze?
[46:33.500 --> 46:36.540]  Zwiedzali miasto.
[46:36.540 --> 46:37.700]  Zwiedzali miasto.
[46:37.700 --> 46:39.700]  Zwiedzali miasto.
[46:39.700 --> 46:40.700]  Tak.
[46:40.700 --> 46:50.700]  Rozmawiali w... Rozmawiali kolegami... kolegą w kawiarni.
[46:50.700 --> 46:51.700]  Z kolegami?
[46:51.700 --> 46:52.700]  Z kolegami.
[46:52.700 --> 46:55.700]  Okej, dobra, rozmawialiśmy z kolegami w kawiarni.
[46:55.700 --> 47:02.300]  I na początku? Pierwsza rzecz w zdaniu? Spotykaliśmy się prywatnie.
[47:02.300 --> 47:03.300]  Tak, tak.
[47:03.500 --> 47:04.500]  No dobrze.
[47:04.500 --> 47:09.500]  Co to znaczy spotykanie się prywatnie?
[47:09.500 --> 47:10.500]  Co znaczy spotykanie?
[47:10.500 --> 47:15.500]  I mean, I understand spotykaczy, but prywatnie means private, right?
[47:15.500 --> 47:16.500]  Mhm.
[47:16.500 --> 47:17.500]  So spotykali...
[47:17.500 --> 47:22.500]  It doesn't mean that they were meeting, but not in the classroom, they were meeting
[47:22.500 --> 47:23.500]  outside the classroom.
[47:23.500 --> 47:24.500]  In a private situation.
[47:24.500 --> 47:26.500]  Not because of class.
[47:26.500 --> 47:27.500]  Okej.
[47:27.500 --> 47:28.500]  Dobrze.
[47:28.500 --> 47:29.500]  Pytania?
[47:29.500 --> 47:30.500]  Nie ma pytań.
[47:30.500 --> 47:31.500]  Nie ma pytań.
[47:31.500 --> 47:32.500]  Nie ma pytań.
[47:32.500 --> 47:33.500]  Nie ma pytań.
[47:33.500 --> 47:34.500]  Nie ma pytań.
[47:34.500 --> 47:35.500]  No dobrze.
[47:35.500 --> 47:38.500]  To zobaczmy na zadanie dziesiąte.
[47:38.500 --> 47:41.500]  Bardzo proszę uzupełnić zdanie.
[47:41.500 --> 47:44.500]  Czyli co Państwo robili w zeszłym roku?
[47:44.500 --> 47:46.500]  Często, w zeszłym roku, codziennie.
[47:46.500 --> 47:47.500]  W zeszłym roku rzadko.
[47:47.500 --> 47:48.500]  Czy pamiętamy, co znaczy często, codziennie, rzadko?
[47:48.500 --> 47:49.500]  Mhm.
[47:49.500 --> 47:50.500]  Co znaczy często?
[47:50.500 --> 47:51.500]  Of course.
[47:51.500 --> 47:52.500]  Of course.
[47:52.500 --> 47:53.500]  Sometimes.
[47:53.500 --> 47:54.500]  Of course.
[47:54.500 --> 47:55.500]  Of course.
[47:55.500 --> 47:56.500]  Of course.
[47:56.500 --> 47:57.500]  Of course.
[47:57.500 --> 47:58.500]  Of course.
[47:58.500 --> 47:59.500]  Of course.
[47:59.500 --> 48:00.500]  Of course.
[48:00.500 --> 48:05.500]  Codziennie.
[48:05.500 --> 48:07.500]  Rzadko.
[48:07.500 --> 48:11.500]  Od czasu do czasu.
[48:11.500 --> 48:16.500]  Dobra.
[48:16.500 --> 48:19.500]  No dobrze, to powiedz co Pan wziął.
[48:19.500 --> 48:21.500]  Jeszcze raz, co to znaczy rzadko?
[48:21.500 --> 48:23.500]  Rzadko.
[48:23.500 --> 48:25.500]  Dokładnie.
[48:30.500 --> 48:35.500]  No dobrze.
[49:00.500 --> 49:10.500]  Dobra.
[49:10.500 --> 49:12.500]  Przepraszam, mogę zapytać?
[49:12.500 --> 49:14.500]  Tak.
[49:14.500 --> 49:16.500]  Więc na ostatnie dwa razy,
[49:16.500 --> 49:18.500]  rzadko to znaczy, że każdy?
[49:18.500 --> 49:23.500]  Tak.
[49:23.500 --> 49:26.500]  Czy...
[49:26.500 --> 49:28.500]  Czy zapomniałem o czymś?
[49:28.500 --> 49:30.500]  Tak, to było rzadko, prawda?
[49:30.500 --> 49:32.500]  Tak.
[49:32.500 --> 49:34.500]  To jest to samo słowo, prawda?
[49:34.500 --> 49:36.500]  Tak.
[49:36.500 --> 49:38.500]  Więc tutaj, to znaczy, że każdy?
[49:38.500 --> 49:40.500]  Tak.
[49:40.500 --> 49:42.500]  Co to za magia?
[50:00.500 --> 50:02.500]  To jest to samo słowo, co i to co?
[50:02.500 --> 50:04.500]  Tak.
[50:04.500 --> 50:05.500]  Tak, więc, że każdy?
[50:05.500 --> 50:06.500]  Tak.
[50:06.500 --> 50:07.500]  Więc, jak...
[50:07.500 --> 50:09.500]  Rzadko, to znaczy, że każdy?
[50:09.500 --> 50:10.500]  Tak.
[50:10.500 --> 50:12.500]  Więc, że każdy?
[50:12.500 --> 50:14.500]  Tak, to znaczy, że każdy.
[50:14.500 --> 50:15.500]  Rzadko, że każdy?
[50:15.500 --> 50:16.500]  Tak.
[50:16.500 --> 50:18.500]  No dobrze, to jest to samo słowo.
[50:18.500 --> 50:20.500]  Tak.
[50:20.500 --> 50:21.500]  No dobrze.
[50:21.500 --> 50:22.500]  Więc, to znaczy, że każdy?
[50:22.500 --> 50:23.500]  Tak.
[50:23.500 --> 50:24.500]  No dobrze.
[50:24.500 --> 50:25.500]  Tak.
[50:25.500 --> 50:26.500]  Tak.
[50:26.500 --> 50:27.500]  To jest to samo słowo, co ja, prawda?
[50:27.500 --> 50:28.500]  Tak.
[50:28.500 --> 50:29.500]  Tak.
[50:29.500 --> 50:49.500]  Zobaczmy co robiliśmy w tym roku.
[50:49.500 --> 50:57.500]  Możesz napisać co zrobiłeś w tym roku, ale przed sierpniem.
[50:57.500 --> 51:01.500]  Użyj tylko jakiejś serii.
[51:27.500 --> 51:37.500]  System一定要 znam grać od duszy i sngera.
[51:37.500 --> 51:55.200]  W gabersku znajduje się wsparcie, ADHD
[51:57.500 --> 52:27.480]  Dzień dobry.
[52:27.500 --> 52:57.480]  Dzień dobry.
[52:57.500 --> 53:27.480]  Dzień dobry.
[53:27.500 --> 53:57.480]  Dzień dobry.
[54:27.500 --> 54:57.480]  Dzień dobry.
[54:57.500 --> 55:27.480]  Dzień dobry.
[55:27.500 --> 55:57.480]  Dzień dobry.
[55:57.500 --> 56:27.480]  Dzień dobry.
[56:27.500 --> 56:57.480]  Dzień dobry.
[56:57.500 --> 57:27.480]  Dzień dobry.
[57:27.500 --> 57:57.480]  Dzień dobry.
[57:57.500 --> 58:27.480]  Dzień dobry.
[58:27.500 --> 58:57.480]  Dzień dobry.
[58:57.500 --> 59:27.480]  Dzień dobry.
[59:27.500 --> 59:29.320]  Dzień dobry.
[59:40.440 --> 59:42.580]  Dobra. Już?
[59:43.320 --> 59:44.200]  Tak, już.
[59:45.080 --> 59:46.340]  Jak już?
[59:47.580 --> 59:48.480]  Doskoczyć.
[59:55.980 --> 59:57.080]  PiąOrce.
[59:57.500 --> 01:00:00.500]  Pijemy kawę.
[01:00:00.500 --> 01:00:02.500]  Kawa to jest E.
[01:00:02.500 --> 01:00:04.500]  Pijemy kawę.
[01:00:04.500 --> 01:00:05.500]  Kawę.
[01:00:05.500 --> 01:00:06.500]  Kawę.
[01:00:06.500 --> 01:00:07.500]  Tak, tak.
[01:00:07.500 --> 01:00:09.500]  Pijemy kawę.
[01:00:09.500 --> 01:00:10.500]  Pijemy kawę.
[01:00:10.500 --> 01:00:11.500]  Zobaczmy.
[01:00:15.500 --> 01:00:16.500]  Wyjechaliśmy, ok.
[01:00:16.500 --> 01:00:21.500]  Wyjechaliśmy na granicę.
[01:00:21.500 --> 01:00:23.500]  Na granicę, dobra.
[01:00:23.500 --> 01:00:25.500]  Pijemy piwo.
[01:00:25.500 --> 01:00:26.500]  Pijemy piwo, tak.
[01:00:26.500 --> 01:00:27.500]  Pijemy piwo.
[01:00:27.500 --> 01:00:28.500]  Pijemy piwo.
[01:00:28.500 --> 01:00:29.500]  Za rok jak to.
[01:00:29.500 --> 01:00:30.500]  Tak.
[01:00:30.500 --> 01:00:33.500]  Pijemy piwo.
[01:00:33.500 --> 01:00:35.500]  To nie zmienia się, bo jest mężczyzna.
[01:00:35.500 --> 01:00:39.500]  Nie zmienia się, bo jest mężczyzna, więc jest to samo jak z mężem.
[01:00:39.500 --> 01:00:43.500]  Poszedłem, poszedłem.
[01:00:43.500 --> 01:00:46.500]  Dobrze.
[01:00:49.500 --> 01:00:50.500]  Dobrze.
[01:00:50.500 --> 01:00:52.500]  Poszedłem pobiegać, ok.
[01:00:52.500 --> 01:00:54.500]  Ugotowałam obiad, ok.
[01:00:54.500 --> 01:00:55.500]  Brałam ubrania, ok.
[01:00:55.500 --> 01:00:56.500]  Cześć, dobra.
[01:00:56.500 --> 01:00:57.500]  Dobra, już.
[01:00:57.500 --> 01:00:58.500]  To dobrze.
[01:00:58.500 --> 01:00:59.500]  Dobra, open już.
[01:00:59.500 --> 01:01:00.500]  Sprawia.
[01:01:00.500 --> 01:01:01.500]  Z.
[01:01:01.500 --> 01:01:02.500]  Z.
[01:01:02.500 --> 01:01:03.500]  O.
[01:01:03.500 --> 01:01:04.500]  To jest kropka?
[01:01:04.500 --> 01:01:05.500]  Czy to jest kropka?
[01:01:05.500 --> 01:01:06.500]  Jest to dot?
[01:01:06.500 --> 01:01:07.500]  O tak.
[01:01:07.500 --> 01:01:08.500]  No, no.
[01:01:08.500 --> 01:01:09.500]  Z.
[01:01:09.500 --> 01:01:10.500]  Dostałem dot, dostałem kresa.
[01:01:10.500 --> 01:01:11.500]  No nie?
[01:01:11.500 --> 01:01:12.500]  No nie?
[01:01:12.500 --> 01:01:13.500]  No nie?
[01:01:13.500 --> 01:01:14.500]  No nie?
[01:01:14.500 --> 01:01:15.500]  No nie?
[01:01:15.500 --> 01:01:16.500]  No nie?
[01:01:16.500 --> 01:01:17.500]  No nie?
[01:01:17.500 --> 01:01:18.500]  No nie?
[01:01:18.500 --> 01:01:19.500]  No nie?
[01:01:19.500 --> 01:01:20.500]  No nie?
[01:01:20.500 --> 01:01:21.500]  No nie?
[01:01:21.500 --> 01:01:22.500]  No nie?
[01:01:22.500 --> 01:01:23.500]  No nie?
[01:01:23.500 --> 01:01:24.500]  No nie?
[01:01:24.500 --> 01:01:25.500]  No nie?
[01:01:25.500 --> 01:01:26.500]  No nie?
[01:01:28.500 --> 01:01:29.500]  To tkwi.
[01:01:29.500 --> 01:01:30.500]  To kropka.
[01:01:30.500 --> 01:01:31.500]  M.
[01:01:31.500 --> 01:01:32.500]  Więc bo kropka jest kropka, czy to roman willi.
[01:01:32.500 --> 01:01:33.500]  When we've been in contact.
[01:01:33.500 --> 01:01:34.500]  When we've been in contact.
[01:01:34.500 --> 01:01:35.500]  I have to fill the lunchbox.
[01:01:35.500 --> 01:01:36.500]  I fill the lunchbox.
[01:01:36.500 --> 01:01:37.500]  Open the lunchbox, open the lunchbox, a rural system appears.
[01:01:37.500 --> 01:01:38.500]  To smorgaków american means that the woman has a big stuff of social life.
[01:01:38.500 --> 01:01:39.500]  Ordynacyjny.
[01:01:39.500 --> 01:01:40.500]  Oni merasträ siedzę iщą.
[01:01:40.500 --> 01:01:41.500]  Oni mera z倍ta godzinem może starać się.
[01:01:41.500 --> 01:01:42.500]  Oni meraistrzę przed tobą.
[01:01:42.500 --> 01:01:43.500]  Oni meraścią tej kos electro bunchwar então elas bl встр yiałabym się
[01:01:43.500 --> 01:01:44.500]  dla opieki.
[01:01:44.500 --> 01:01:45.500]  Leyla futuro.
[01:01:45.500 --> 01:01:46.500]  Ono to .
[01:01:46.500 --> 01:01:47.500]  Świetnie, takahan?
[01:01:47.500 --> 01:01:49.500]  On?
[01:01:49.500 --> 01:01:51.500]  Szedłem.
[01:01:51.500 --> 01:01:53.500]  Szedłem.
[01:01:53.500 --> 01:01:55.500]  Dobrze.
[01:01:55.500 --> 01:01:57.500]  Dobrze.
[01:01:57.500 --> 01:01:59.500]  Dobrze.
[01:01:59.500 --> 01:02:01.500]  Dobra i przedwzoruj.
[01:02:01.500 --> 01:02:03.500]  Ok.
[01:02:17.500 --> 01:02:19.500]  Dobra.
[01:02:25.500 --> 01:02:27.500]  Eeeem...
